branch,cutoff_date,area,region,first_date_disbursement,active_borrowers,active_agent,deliquency_rate, outstanding , weekly_disbursement , weekly_new_borrower_per_bp 
POINTID_35,2018-08-11,AREAID_1,REGION_JH,2017-07-29,1479,8,5%-10%,2600,35,5
POINTID_51,2018-08-11,AREAID_29,REGION_JH,2017-09-09,1472,6,0%-1%,3600,30,4
POINTID_38,2018-08-11,AREAID_1,REGION_JH,2017-08-12,1501,5,2.5%-5%,3150,30,3
POINTID_43,2018-08-11,AREAID_29,REGION_JH,2017-09-09,1855,7,5%-10%,4500,80,8
POINTID_44,2018-08-11,AREAID_29,REGION_JH,2017-09-09,1506,7,5%-10%,3300,55,7
POINTID_37,2018-08-11,AREAID_1,REGION_JH,2017-08-05,1490,5,2.5%-5%,2900,100,12
POINTID_28,2018-08-11,AREAID_20,REGION_JH,2017-06-03,979,4,2.5%-5%,2000,5,1
POINTID_24,2018-08-11,AREAID_20,REGION_JH,2017-06-10,946,4,0%,1700,0,
POINTID_52,2018-08-11,AREAID_29,REGION_JH,2017-09-09,1734,6,0%,3950,95,5
POINTID_25,2018-08-11,AREAID_20,REGION_JH,2017-06-10,1199,5,0%,2400,125,10
POINTID_91,2018-08-11,AREAID_4,REGION_JH,2018-07-28,54,1,0%,150,75,26
POINTID_92,2018-08-11,AREAID_4,REGION_JH,2018-07-28,38,1,0%,50,45,17
POINTID_89,2018-08-11,AREAID_11,REGION_JH,2018-07-28,33,3,0%,50,60,13
POINTID_50,2018-08-11,AREAID_29,REGION_JH,2017-09-09,1121,5,1%-2.5%,2700,35,7
POINTID_36,2018-08-11,AREAID_1,REGION_JH,2017-08-12,1372,5,5%-10%,3150,50,4
POINTID_24,2018-08-04,AREAID_20,REGION_JH,2017-06-10,947,5,0%,1750,10,4
POINTID_92,2018-08-04,AREAID_4,REGION_JH,2018-07-28,21,1,0%,50,50,21
POINTID_38,2018-08-04,AREAID_1,REGION_JH,2017-08-12,1494,5,2.5%-5%,3200,110,6
POINTID_25,2018-08-04,AREAID_20,REGION_JH,2017-06-10,1165,5,0%,2350,95,8
POINTID_43,2018-08-04,AREAID_29,REGION_JH,2017-09-09,1844,7,5%-10%,4550,65,7
POINTID_28,2018-08-04,AREAID_20,REGION_JH,2017-06-03,979,4,1%-2.5%,2050,25,3
POINTID_52,2018-08-04,AREAID_29,REGION_JH,2017-09-09,1720,6,0%,3950,85,10
POINTID_44,2018-08-04,AREAID_29,REGION_JH,2017-09-09,1487,7,5%-10%,3300,45,6
POINTID_35,2018-08-04,AREAID_1,REGION_JH,2017-07-29,1474,7,2.5%-5%,2650,60,9
POINTID_50,2018-08-04,AREAID_29,REGION_JH,2017-09-09,1107,6,0%-1%,2750,25,3
POINTID_91,2018-08-04,AREAID_4,REGION_JH,2018-07-28,28,1,0%,50,80,28
POINTID_89,2018-08-04,AREAID_11,REGION_JH,2018-07-28,8,1,0%,0,20,8
POINTID_37,2018-08-04,AREAID_1,REGION_JH,2017-08-05,1464,5,2.5%-5%,2900,25,3
POINTID_36,2018-08-04,AREAID_1,REGION_JH,2017-08-12,1358,6,5%-10%,3200,130,12
POINTID_51,2018-08-04,AREAID_29,REGION_JH,2017-09-09,1461,5,0%-1%,3650,100,11
POINTID_52,2018-07-28,AREAID_29,REGION_JH,2017-09-09,1694,6,0%,4000,70,6
POINTID_37,2018-07-28,AREAID_1,REGION_JH,2017-08-05,1454,5,2.5%-5%,2950,60,6
POINTID_43,2018-07-28,AREAID_29,REGION_JH,2017-09-09,1823,7,5%-10%,4600,10,2
POINTID_35,2018-07-28,AREAID_1,REGION_JH,2017-07-29,1457,5,2.5%-5%,2650,50,10
POINTID_24,2018-07-28,AREAID_20,REGION_JH,2017-06-10,944,5,0%,1800,40,11
POINTID_50,2018-07-28,AREAID_29,REGION_JH,2017-09-09,1098,6,0%-1%,2800,40,7
POINTID_44,2018-07-28,AREAID_29,REGION_JH,2017-09-09,1471,6,1%-2.5%,3350,50,6
POINTID_28,2018-07-28,AREAID_20,REGION_JH,2017-06-03,973,6,1%-2.5%,2050,30,5
POINTID_25,2018-07-28,AREAID_20,REGION_JH,2017-06-10,1135,5,0%,2350,60,7
POINTID_38,2018-07-28,AREAID_1,REGION_JH,2017-08-12,1459,5,2.5%-5%,3200,35,12
POINTID_36,2018-07-28,AREAID_1,REGION_JH,2017-08-12,1312,5,5%-10%,3150,10,2
POINTID_51,2018-07-28,AREAID_29,REGION_JH,2017-09-09,1433,6,0%,3650,50,6
POINTID_35,2018-07-21,AREAID_1,REGION_JH,2017-07-29,1441,5,2.5%-5%,2700,135,2
POINTID_50,2018-07-21,AREAID_29,REGION_JH,2017-09-09,1084,5,0%-1%,2800,200,0
POINTID_52,2018-07-21,AREAID_29,REGION_JH,2017-09-09,1675,6,0%,4050,555,4
POINTID_37,2018-07-21,AREAID_1,REGION_JH,2017-08-05,1434,6,2.5%-5%,3000,180,4
POINTID_43,2018-07-21,AREAID_29,REGION_JH,2017-09-09,1821,7,5%-10%,4750,385,9
POINTID_28,2018-07-21,AREAID_20,REGION_JH,2017-06-03,962,4,0%-1%,2100,5,2
POINTID_24,2018-07-21,AREAID_20,REGION_JH,2017-06-10,933,4,0%,1800,25,4
POINTID_51,2018-07-21,AREAID_29,REGION_JH,2017-09-09,1417,5,0%,3700,160,5
POINTID_36,2018-07-21,AREAID_1,REGION_JH,2017-08-12,1309,5,2.5%-5%,3200,130,8
POINTID_44,2018-07-21,AREAID_29,REGION_JH,2017-09-09,1454,7,1%-2.5%,3400,210,2
POINTID_38,2018-07-21,AREAID_1,REGION_JH,2017-08-12,1448,4,2.5%-5%,3250,330,0
POINTID_25,2018-07-21,AREAID_20,REGION_JH,2017-06-10,1115,5,0%,2350,280,11
POINTID_24,2018-07-14,AREAID_20,REGION_JH,2017-06-10,925,4,0%,1850,60,0
POINTID_28,2018-07-14,AREAID_20,REGION_JH,2017-06-03,960,3,1%-2.5%,2150,10,0
POINTID_50,2018-07-14,AREAID_29,REGION_JH,2017-09-09,1084,6,0%-1%,2750,90,0
POINTID_51,2018-07-14,AREAID_29,REGION_JH,2017-09-09,1405,6,0%,3700,130,1
POINTID_37,2018-07-14,AREAID_1,REGION_JH,2017-08-05,1425,6,1%-2.5%,2950,90,0
POINTID_35,2018-07-14,AREAID_1,REGION_JH,2017-07-29,1437,5,2.5%-5%,2700,35,0
POINTID_25,2018-07-14,AREAID_20,REGION_JH,2017-06-10,1072,5,0%,2150,35,2
POINTID_36,2018-07-14,AREAID_1,REGION_JH,2017-08-12,1287,5,2.5%-5%,3200,250,4
POINTID_38,2018-07-14,AREAID_1,REGION_JH,2017-08-12,1449,4,2.5%-5%,3100,0,
POINTID_52,2018-07-14,AREAID_29,REGION_JH,2017-09-09,1656,6,0%,3750,60,3
POINTID_44,2018-07-14,AREAID_29,REGION_JH,2017-09-09,1447,6,0%-1%,3350,65,0
POINTID_43,2018-07-14,AREAID_29,REGION_JH,2017-09-09,1781,7,5%-10%,4550,80,7
POINTID_35,2018-07-07,AREAID_1,REGION_JH,2017-07-29,1434,5,2.5%-5%,2750,5,2
POINTID_37,2018-07-07,AREAID_1,REGION_JH,2017-08-05,1426,6,1%-2.5%,2950,0,
POINTID_52,2018-07-07,AREAID_29,REGION_JH,2017-09-09,1652,6,0%,3800,25,0
POINTID_43,2018-07-07,AREAID_29,REGION_JH,2017-09-09,1770,7,2.5%-5%,4600,195,57
POINTID_50,2018-07-07,AREAID_29,REGION_JH,2017-09-09,1085,5,0%-1%,2750,5,0
POINTID_42,2018-10-20,AREAID_27,REGION_JR1,2017-09-09,1108,5,1%-2.5%," 2,150 ", 20 , 3 
POINTID_45,2018-10-20,AREAID_21,REGION_JR1,2017-09-16,2294,8,0%-1%," 4,300 ", 50 , 7 
POINTID_111,2018-10-20,AREAID_12,REGION_JR1,2018-09-22,54,2,0%, 150 , 20 , 4 
POINTID_101,2018-10-20,AREAID_15,REGION_JR1,2018-08-04,452,3,0%," 1,200 ", 140 , 16 
POINTID_104,2018-10-20,AREAID_12,REGION_JR1,2018-09-15,108,2,0%, 300 , 85 , 15 
POINTID_46,2018-10-20,AREAID_21,REGION_JR1,2017-09-16,2057,8,0%-1%," 4,500 ", 120 , 5 
POINTID_33,2018-10-20,AREAID_27,REGION_JR1,2017-07-22,988,4,>10%," 2,100 ", -   ,
POINTID_34,2018-10-20,AREAID_27,REGION_JR1,2017-07-15,1914,7,0%," 4,000 ", 135 , 7 
POINTID_49,2018-10-20,AREAID_21,REGION_JR1,2017-09-16,1854,8,2.5%-5%," 3,500 ", 90 , 4 
